1	38	11	 	 
2	38	12		
3	38	13		
4	38	14		
5	39	12		
6	40	12		
7	41	25		
8	42	1		
9	43	2		
10	44	3		
11	45	5		
12	1	8		
13	2	8		
14	3	8		
15	4	8		
16	5	8		
17	6	8		
18	7	8		
19	8	8		
20	9	8		
21	10	8		
22	11	8		
23	12	8		
24	13	8		
25	14	8		
26	15	8		
27	16	8		
28	17	8		
29	18	8		
30	19	8		
31	20	8		
32	21	8		
33	22	8		
34	23	8		
35	24	8		
36	25	8		
37	26	8		
38	27	8		
39	28	8		
40	29	8		
41	30	8		
42	31	8		
43	32	8		
44	33	8		
45	34	8		
46	35	8		
47	36	8		
48	37	10		
49	46	9		
50	47	12		
51	47	16		
52	47	15		
53	47	17		
54	47	20		
55	48	16		
56	48	17		
57	48	12		
58	49	12		
59	50	12		
60	51	12		
61	52	12		
62	53	12		
63	54	12		
64	55	12		
65	56	15		
66	57	9		
67	58	16		
68	59	17		
69	60	18		
70	61	19		
71	62	20		
72	63	27		
73	64	22		
74	65	22		
75	1	10		
76	2	10		
77	3	10		
78	4	10		
79	5	10		
80	6	10		
81	7	10		
82	8	10		
83	9	10		
84	10	10		
85	11	10		
86	12	10		
87	13	10		
88	14	10		
89	15	10		
90	16	10		
91	17	10		
92	18	10		
93	19	10		
94	20	10		
95	21	10		
96	22	10		
97	23	10		
98	24	10		
99	25	10		
100	26	10		
101	27	10		
102	28	10		
103	29	10		
104	30	10		
105	31	10		
106	32	10		
107	33	10		
108	34	10		
109	35	10		
110	36	10		
